167.404	197.563	235.094	282.328	342.517	420.286	522.348	658.667	844.418	1103.4	1474.23	2021.95	2861.17	4203.32	6406.14	4203.32	2861.17	2021.95	1474.23	1103.4	844.418	658.667	522.348	420.286	342.517	282.328	235.094	197.563	167.404	
186.784	220.434	262.31	315.012	382.168	468.941	582.818	734.918	942.173	1231.14	1644.89	2256.03	3192.4	4689.92	7148.14	4689.92	3192.4	2256.03	1644.89	1231.14	942.173	734.918	582.818	468.941	382.168	315.012	262.31	220.434	186.784	
208.039	245.519	292.16	350.859	425.657	522.304	649.14	818.548	1049.39	1371.24	1832.08	2512.75	3555.68	5223.61	7961.83	5223.61	3555.68	2512.75	1832.08	1371.24	1049.39	818.548	649.14	522.304	425.657	350.859	292.16	245.519	208.039	
231.322	272.997	324.858	390.126	473.296	580.759	721.791	910.159	1166.83	1524.71	2037.12	2793.98	3953.62	5808.23	8853.12	5808.23	3953.62	2793.98	2037.12	1524.71	1166.83	910.159	721.791	580.759	473.296	390.126	324.858	272.997	231.322	
256.798	303.061	360.634	433.09	525.419	644.717	801.281	1010.39	1295.33	1692.62	2261.46	3101.67	4389.03	6447.88	9828.28	6447.88	4389.03	3101.67	2261.46	1692.62	1295.33	1010.39	801.281	644.717	525.419	433.09	360.634	303.061	256.798	
284.639	335.918	399.733	480.044	582.384	714.616	888.153	1119.94	1435.77	1876.13	2506.64	3437.95	4864.87	7146.94	10894	7146.94	4864.87	3437.95	2506.64	1876.13	1435.77	1119.94	888.153	714.616	582.384	480.044	399.733	335.918	284.639	
315.032	371.787	442.416	531.303	644.57	790.921	982.989	1239.52	1589.08	2076.46	2774.3	3805.05	5384.34	7910.08	12057.4	7910.08	5384.34	3805.05	2774.3	2076.46	1589.08	1239.52	982.989	790.921	644.57	531.303	442.416	371.787	315.032	
348.176	410.902	488.962	587.2	712.384	874.133	1086.41	1369.93	1756.27	2294.92	3066.18	4205.37	5950.81	8742.29	13326.1	8742.29	5950.81	4205.37	3066.18	2294.92	1756.27	1369.93	1086.41	874.133	712.384	587.2	488.962	410.902	348.176	
384.282	453.513	539.667	648.093	786.257	964.78	1199.07	1511.99	1938.39	2532.9	3384.14	4641.46	6567.91	9648.86	14708.2	9648.86	6567.91	4641.46	3384.14	2532.9	1938.39	1511.99	1199.07	964.78	786.257	648.093	539.667	453.513	384.282	
423.574	499.884	594.847	714.359	866.651	1063.43	1321.67	1666.59	2136.59	2791.89	3730.16	5116.04	7239.47	10635.4	16212.2	10635.4	7239.47	5116.04	3730.16	2791.89	2136.59	1666.59	1321.67	1063.43	866.651	714.359	594.847	499.884	423.574	
466.292	550.298	654.838	786.403	954.055	1170.68	1454.96	1834.67	2352.07	3073.45	4106.36	5632.01	7969.58	11708	17847.4	11708	7969.58	5632.01	4106.36	3073.45	2352.07	1834.67	1454.96	1170.68	954.055	786.403	654.838	550.298	466.292	
512.691	605.055	719.998	864.654	1048.99	1287.16	1599.74	2017.23	2586.11	3379.28	4514.96	6192.42	8762.59	12873	19623.4	12873	8762.59	6192.42	4514.96	3379.28	2586.11	2017.23	1599.74	1287.16	1048.99	864.654	719.998	605.055	512.691	
563.039	664.474	790.705	949.567	1152	1413.57	1756.84	2215.33	2840.07	3711.14	4958.35	6800.54	9623.12	14137.2	21550.7	14137.2	9623.12	6800.54	4958.35	3711.14	2840.07	2215.33	1756.84	1413.57	1152	949.567	790.705	664.474	563.039	
617.625	728.894	867.362	1041.63	1263.69	1550.61	1927.16	2430.1	3115.41	4070.92	5439.05	7459.84	10556.1	15507.8	23640.2	15507.8	10556.1	7459.84	5439.05	4070.92	3115.41	2430.1	1927.16	1550.61	1263.69	1041.63	867.362	728.894	617.625	
676.751	798.673	950.397	1141.34	1384.66	1699.06	2111.65	2662.74	3413.66	4460.64	5959.74	8173.99	11566.6	16992.4	25903.5	16992.4	11566.6	8173.99	5959.74	4460.64	3413.66	2662.74	2111.65	1699.06	1384.66	1141.34	950.397	798.673	676.751	
